trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.85, 'e': 1.0}",20,0,-77.80382405,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,FALSE,"{'a': 0.85, 'e': 0.25}",20,0,-87.97536524,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,FALSE,"{'a': 0.85, 'e': 0.1111111111111111}",25,0,3.763134315,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,FALSE,"{'a': 0.85, 'e': 0.0625}",30,0,-16.27813353,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,FALSE,"{'a': 0.85, 'e': 0.04}",25,0,-35.34673302,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,FALSE,"{'a': 0.85, 'e': 0.027777777777777776}",35,16,-22.81252921,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,FALSE,"{'a': 0.85, 'e': 0.02040816326530612}",25,0,34.93838997,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,FALSE,"{'a': 0.85, 'e': 0.015625}",35,26,-29.43516656,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,FALSE,"{'a': 0.85, 'e': 0.012345679012345678}",25,10,28.30787785,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,FALSE,"{'a': 0.85, 'e': 0.01}",25,14,16.40843024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,FALSE,"{'a': 0.85, 'e': 0.008264462809917356}",20,5,21.29910564,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,FALSE,"{'a': 0.85, 'e': 0.006944444444444444}",20,0,-17.383564,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,FALSE,"{'a': 0.85, 'e': 0.005917159763313609}",25,0,31.53944107,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,FALSE,"{'a': 0.85, 'e': 0.00510204081632653}",25,0,-27.71403479,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
15,FALSE,"{'a': 0.85, 'e': 0.0044444444444444444}",30,0,5.710551011,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,FALSE,"{'a': 0.85, 'e': 0.00390625}",20,0,-50.95961847,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
17,FALSE,"{'a': 0.85, 'e': 0.0034602076124567475}",20,6,-64.34478285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,FALSE,"{'a': 0.85, 'e': 0.0030864197530864196}",25,11,24.30989215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.85, 'e': 0.002770083102493075}",25,5,-15.36767665,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
20,FALSE,"{'a': 0.85, 'e': 0.0025}",25,0,-11.53137584,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
21,FALSE,"{'a': 0.85, 'e': 0.0022675736961451248}",20,0,29.43299916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,FALSE,"{'a': 0.85, 'e': 0.002066115702479339}",20,10,7.724294706,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,FALSE,"{'a': 0.85, 'e': 0.001890359168241966}",25,20,10.24472809,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,FALSE,"{'a': 0.85, 'e': 0.001736111111111111}",30,11,-15.00475695,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
25,FALSE,"{'a': 0.85, 'e': 0.0016}",30,0,24.76063333,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,FALSE,"{'a': 0.85, 'e': 0.0014792899408284023}",20,0,16.18236738,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,FALSE,"{'a': 0.85, 'e': 0.0013717421124828531}",20,6,23.76731697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,FALSE,"{'a': 0.85, 'e': 0.0012755102040816326}",20,12,-30.21279994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,FALSE,"{'a': 0.85, 'e': 0.0011890606420927466}",20,10,19.75091693,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,FALSE,"{'a': 0.85, 'e': 0.0011111111111111111}",20,15,8.841361177,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,FALSE,"{'a': 0.85, 'e': 0.001040582726326743}",25,14,20.43708451,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,FALSE,"{'a': 0.85, 'e': 0.0009765625}",20,1,30.49913145,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,FALSE,"{'a': 0.85, 'e': 0.0009182736455463728}",25,8,23.39404534,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,FALSE,"{'a': 0.85, 'e': 0.0008650519031141869}",30,7,35.30112338,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,FALSE,"{'a': 0.85, 'e': 0.0008163265306122449}",25,18,13.69614198,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,FALSE,"{'a': 0.85, 'e': 0.0007716049382716049}",30,19,14.53494751,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,FALSE,"{'a': 0.85, 'e': 0.0007304601899196494}",30,11,31.24679118,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,FALSE,"{'a': 0.85, 'e': 0.0006925207756232687}",30,16,24.64655449,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,FALSE,"{'a': 0.85, 'e': 0.0006574621959237344}",35,1,32.93587869,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,FALSE,"{'a': 0.85, 'e': 0.000625}",25,0,24.45879969,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
41,FALSE,"{'a': 0.85, 'e': 0.000594883997620464}",20,14,9.660300332,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,FALSE,"{'a': 0.85, 'e': 0.0005668934240362812}",30,2,41.35692785,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,FALSE,"{'a': 0.85, 'e': 0.0005408328826392645}",30,8,29.97657812,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,FALSE,"{'a': 0.85, 'e': 0.0005165289256198347}",25,15,17.42139903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,FALSE,"{'a': 0.85, 'e': 0.0004938271604938272}",20,3,26.97162514,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,FALSE,"{'a': 0.85, 'e': 0.0004725897920604915}",20,12,12.93755238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,FALSE,"{'a': 0.85, 'e': 0.0004526935264825713}",25,11,-16.59107436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,FALSE,"{'a': 0.85, 'e': 0.00043402777777777775}",30,11,28.47199408,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,FALSE,"{'a': 0.85, 'e': 0.00041649312786339027}",35,12,40.98365226,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,FALSE,"{'a': 0.85, 'e': 0.0004}",25,0,35.99064595,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,FALSE,"{'a': 0.85, 'e': 0.00038446751249519417}",25,15,0.620418926,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,FALSE,"{'a': 0.85, 'e': 0.0003698224852071006}",20,12,11.84987009,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,FALSE,"{'a': 0.85, 'e': 0.000355998576005696}",25,19,14.16128665,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,FALSE,"{'a': 0.85, 'e': 0.0003429355281207133}",20,7,23.23340964,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,FALSE,"{'a': 0.85, 'e': 0.00033057851239669424}",20,10,15.9111784,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,FALSE,"{'a': 0.85, 'e': 0.00031887755102040814}",25,13,20.65804481,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,FALSE,"{'a': 0.85, 'e': 0.0003077870113881194}",25,18,10.39578461,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,FALSE,"{'a': 0.85, 'e': 0.00029726516052318666}",25,0,34.84240362,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,FALSE,"{'a': 0.85, 'e': 0.0002872737719046251}",20,12,12.91388815,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,FALSE,"{'a': 0.85, 'e': 0.0002777777777777778}",20,5,28.20617227,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,FALSE,"{'a': 0.85, 'e': 0.0002687449610319806}",20,2,12.06964258,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,FALSE,"{'a': 0.85, 'e': 0.00026014568158168577}",20,2,28.86903365,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,FALSE,"{'a': 0.85, 'e': 0.0002519526329050139}",25,7,-11.25262419,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,FALSE,"{'a': 0.85, 'e': 0.000244140625}",20,13,-0.223842274,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,FALSE,"{'a': 0.85, 'e': 0.00023668639053254438}",25,0,40.51877877,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,FALSE,"{'a': 0.85, 'e': 0.0002295684113865932}",25,5,29.68184271,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,FALSE,"{'a': 0.85, 'e': 0.00022276676319893073}",30,24,12.36057156,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,FALSE,"{'a': 0.85, 'e': 0.00021626297577854672}",20,5,-15.63463365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,FALSE,"{'a': 0.85, 'e': 0.00021003990758244065}",20,6,27.45063162,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,FALSE,"{'a': 0.85, 'e': 0.00020408163265306123}",20,0,33.32562518,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,FALSE,"{'a': 0.85, 'e': 0.00019837333862328903}",20,9,19.0667408,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,FALSE,"{'a': 0.85, 'e': 0.00019290123456790122}",25,17,14.59362014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,FALSE,"{'a': 0.85, 'e': 0.00018765246762994934}",20,6,26.72721202,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,FALSE,"{'a': 0.85, 'e': 0.00018261504747991235}",25,16,17.76790145,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,FALSE,"{'a': 0.85, 'e': 0.00017777777777777779}",25,9,28.59782484,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,FALSE,"{'a': 0.85, 'e': 0.00017313019390581717}",20,14,12.25533168,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,FALSE,"{'a': 0.85, 'e': 0.00016866250632484398}",25,7,31.03130688,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,FALSE,"{'a': 0.85, 'e': 0.0001643655489809336}",20,0,31.81380477,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,FALSE,"{'a': 0.85, 'e': 0.0001602307322544464}",20,11,11.73333315,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,FALSE,"{'a': 0.85, 'e': 0.00015625}",30,0,36.47990589,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,FALSE,"{'a': 0.85, 'e': 0.00015241579027587258}",20,12,12.60648949,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,FALSE,"{'a': 0.85, 'e': 0.000148720999405116}",20,12,18.7716804,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,FALSE,"{'a': 0.85, 'e': 0.00014515894904920887}",30,0,44.30152778,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,FALSE,"{'a': 0.85, 'e': 0.0001417233560090703}",25,7,26.66088383,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,FALSE,"{'a': 0.85, 'e': 0.0001384083044982699}",25,6,29.58504337,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,FALSE,"{'a': 0.85, 'e': 0.00013520822065981613}",25,11,22.76699728,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,FALSE,"{'a': 0.85, 'e': 0.0001321178491214163}",25,0,40.07079961,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,FALSE,"{'a': 0.85, 'e': 0.00012913223140495868}",20,1,27.47163282,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,FALSE,"{'a': 0.85, 'e': 0.00012624668602449185}",20,0,28.09026056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,FALSE,"{'a': 0.85, 'e': 0.0001234567901234568}",25,0,43.14775761,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,FALSE,"{'a': 0.85, 'e': 0.00012075836251660427}",20,7,24.64658596,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,FALSE,"{'a': 0.85, 'e': 0.00011814744801512288}",35,17,27.39945382,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,FALSE,"{'a': 0.85, 'e': 0.00011562030292519366}",20,4,29.73830401,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,FALSE,"{'a': 0.85, 'e': 0.00011317338162064282}",30,8,37.12883234,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,FALSE,"{'a': 0.85, 'e': 0.00011080332409972299}",30,11,28.81509122,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,FALSE,"{'a': 0.85, 'e': 0.00010850694444444444}",30,13,31.38384647,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,FALSE,"{'a': 0.85, 'e': 0.00010628122010840685}",20,4,25.43236742,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,FALSE,"{'a': 0.85, 'e': 0.00010412328196584757}",30,10,36.21634788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,FALSE,"{'a': 0.85, 'e': 0.00010203040506070809}",20,16,7.276124787,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,FALSE,"{'a': 0.85, 'e': 0.0001}",25,10,21.70453236,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,FALSE,"{'a': 0.85, 'e': 9.802960494069208e-05}",30,13,26.07414999,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,FALSE,"{'a': 0.85, 'e': 9.611687812379854e-05}",30,20,20.83227473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,FALSE,"{'a': 0.85, 'e': 9.425959091337543e-05}",20,0,25.87119765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,FALSE,"{'a': 0.85, 'e': 9.245562130177515e-05}",20,12,13.1837081,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,FALSE,"{'a': 0.85, 'e': 9.070294784580499e-05}",25,17,11.20813716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,FALSE,"{'a': 0.85, 'e': 8.8999644001424e-05}",25,15,15.69213252,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,FALSE,"{'a': 0.85, 'e': 8.734387282732117e-05}",25,0,38.0704752,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,FALSE,"{'a': 0.85, 'e': 8.573388203017832e-05}",20,13,4.057043851,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,FALSE,"{'a': 0.85, 'e': 8.416799932665601e-05}",25,16,19.69295454,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,FALSE,"{'a': 0.85, 'e': 8.264462809917356e-05}",30,0,0.354573914,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,FALSE,"{'a': 0.85, 'e': 8.116224332440549e-05}",20,15,11.44131244,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,FALSE,"{'a': 0.85, 'e': 7.971938775510203e-05}",20,7,20.10462466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,FALSE,"{'a': 0.85, 'e': 7.831466833737959e-05}",25,8,22.72704354,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,FALSE,"{'a': 0.85, 'e': 7.694675284702985e-05}",25,7,25.96716847,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,FALSE,"{'a': 0.85, 'e': 7.561436672967863e-05}",30,17,18.48005996,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,FALSE,"{'a': 0.85, 'e': 7.431629013079666e-05}",20,16,6.327883685,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,FALSE,"{'a': 0.85, 'e': 7.305135510263716e-05}",25,3,32.64984126,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,FALSE,"{'a': 0.85, 'e': 7.181844297615628e-05}",30,12,32.46567801,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,FALSE,"{'a': 0.85, 'e': 7.06164818868724e-05}",20,11,13.40555307,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,FALSE,"{'a': 0.85, 'e': 6.944444444444444e-05}",30,19,21.38141794,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,FALSE,"{'a': 0.85, 'e': 6.830134553650706e-05}",25,6,30.62547673,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,FALSE,"{'a': 0.85, 'e': 6.718624025799516e-05}",20,11,15.17351914,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,FALSE,"{'a': 0.85, 'e': 6.609822195782933e-05}",30,18,13.63669954,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,FALSE,"{'a': 0.85, 'e': 6.503642039542144e-05}",20,10,19.68732238,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,FALSE,"{'a': 0.85, 'e': 6.4e-05}",20,0,29.50520028,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,FALSE,"{'a': 0.85, 'e': 6.298815822625347e-05}",30,16,27.11362517,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,FALSE,"{'a': 0.85, 'e': 6.2000124000248e-05}",25,16,17.53379648,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,FALSE,"{'a': 0.85, 'e': 6.103515625e-05}",20,3,28.56743093,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,FALSE,"{'a': 0.85, 'e': 6.009254251547383e-05}",20,14,11.5287284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,FALSE,"{'a': 0.85, 'e': 5.9171597633136094e-05}",25,8,27.52131778,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,FALSE,"{'a': 0.85, 'e': 5.8271662490530857e-05}",25,20,8.548413578,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,FALSE,"{'a': 0.85, 'e': 5.73921028466483e-05}",30,23,14.11480579,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,FALSE,"{'a': 0.85, 'e': 5.6532308214144386e-05}",20,10,17.5664411,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,FALSE,"{'a': 0.85, 'e': 5.569169079973268e-05}",25,11,28.84085376,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,FALSE,"{'a': 0.85, 'e': 5.486968449931413e-05}",35,18,35.08482916,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,FALSE,"{'a': 0.85, 'e': 5.406574394463668e-05}",30,22,12.76104913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,FALSE,"{'a': 0.85, 'e': 5.3279343598486864e-05}",20,16,7.024502952,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,FALSE,"{'a': 0.85, 'e': 5.250997689561016e-05}",30,18,21.07033065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,FALSE,"{'a': 0.85, 'e': 5.175715542673774e-05}",20,3,31.50242751,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,FALSE,"{'a': 0.85, 'e': 5.102040816326531e-05}",20,12,12.25738856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,FALSE,"{'a': 0.85, 'e': 5.02992807202857e-05}",25,10,27.09390187,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,FALSE,"{'a': 0.85, 'e': 4.959333465582226e-05}",20,2,27.57284053,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",20,4,26.93499989,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",30,16,31.71042129,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",20,0,27.52766535,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",30,12,26.09709838,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",25,7,32.70604511,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",30,20,20.19410339,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",20,10,17.96583009,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",30,16,24.26949737,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",20,15,9.674919851,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0, 'e': 4.959333465582226e-05}",25,14,18.01599037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
